selection-algo,init,1,2,3,4,5,6,7,8,9,10,11,12
greedy,0.17,0.20000,0.31000,0.33000,0.19000,0.26000,0.24500,0.22500,0.21500,0.20000,0.17000,0.20000,0.17000
random,0.17,0.18500,0.20500,0.15500,0.11500,0.14500,0.13500,0.17500,0.13000,0.16000,0.12500,0.15000,0.15000
betweenness_global,0.17,0.27500,0.22500,0.23000,0.19500,0.20500,0.20000,0.27500,0.17500,0.22500,0.22000,0.13500,0.20000
betweenness_subset,0.17,0.23500,0.27000,0.21000,0.17500,0.19000,0.26000,0.18000,0.23500,0.28500,0.29000,0.23000,0.23500
closeness_global,0.17,0.26500,0.27000,0.20500,0.20000,0.25500,0.15000,0.12000,0.20500,0.30000,0.26500,0.23000,0.17500
closeness_subset,0.17,0.23000,0.24500,0.22000,0.26000,0.28000,0.20500,0.26000,0.26000,0.25000,0.16500,0.25500,0.18500
in_degree,0.17,0.19500,0.28000,0.22500,0.28500,0.25000,0.22500,0.18000,0.29000,0.17500,0.27000,0.21000,0.26000
out_degree,0.17,0.23000,0.30500,0.26500,0.35000,0.26000,0.21500,0.19000,0.26500,0.25000,0.22500,0.24000,0.23000
both_degree,0.17,0.25500,0.31000,0.19500,0.23000,0.20500,0.25500,0.34000,0.20000,0.29000,0.23000,0.26500,0.24500
